Distance (nm),Rn % (27Da),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %,NiH %,C2 %,C3 %,C4 %,Ca %,Ga %,H %,Sample Count
1.449997902,75148,136259,78017,16253,11097,192135,123286,41464,0,0,0,0,63,115,225,674062
1.549997926,70523,120496,72412,14493,9981,185348,120161,38260,0,0,0,0,54,107,224,632059
1.64999795,66954,105850,66705,12862,9364,180511,117270,35480,0,0,0,0,54,96,200,595346
1.749997973,62879,92850,61311,11332,8495,175626,113177,32875,0,0,0,0,47,75,203,558870
1.849997997,59483,82118,56829,9868,7895,168944,109778,29932,0,0,0,0,52,77,189,525165
1.949998021,55707,71095,51973,8589,7161,163112,105739,27578,0,0,0,0,36,77,181,491248
2.049998045,52037,61576,48121,7731,6522,157742,101696,25279,0,0,0,0,26,67,177,460974
2.14999795,49367,53065,44147,6617,6140,150864,97639,23553,0,0,0,0,51,67,148,431658
2.249997854,46083,45863,40525,5676,5333,145042,94007,21867,0,0,0,0,25,55,168,404644
2.349997759,42838,39766,37016,4857,5061,138619,90013,19708,0,0,0,0,23,58,136,378095
2.449997663,40017,33825,34198,4191,4701,131453,85805,18187,0,0,0,0,26,66,137,352606
2.549997568,37267,28810,31156,3421,4228,125108,81636,16527,0,0,0,0,30,50,122,328355
2.649997473,34497,24383,28985,3041,3770,118633,77823,15008,0,0,0,0,29,43,111,306323
2.749997377,31847,20460,26103,2599,3422,112814,72922,13725,0,0,0,0,26,36,108,284062
2.849997282,29668,17579,23753,2104,3072,105598,69379,12257,0,0,0,0,21,44,94,263569
2.949997187,27154,14855,21762,1796,2625,99488,65602,11598,0,0,0,0,15,43,88,245026
3.049997091,25130,12300,19608,1449,2590,93717,61537,10480,0,0,0,0,19,34,103,226967
3.149996996,23236,10500,18132,1275,2272,87308,58135,9396,0,0,0,0,21,31,71,210377
3.249996901,21218,8861,16333,1039,2160,80877,54506,8572,0,0,0,0,10,23,73,193672
3.349996805,19194,7442,14857,868,1917,75483,50474,7683,0,0,0,0,21,30,71,178040
3.44999671,17401,6387,13736,706,1732,69787,46754,7000,0,0,0,0,17,18,56,163594
3.549996614,15998,5463,12396,557,1515,64312,43627,6264,0,0,0,0,10,14,64,150220
3.649996519,14629,4643,11063,454,1407,59659,40578,5784,0,0,0,0,10,15,48,138290
3.749996424,13240,3974,10372,375,1172,55386,37645,5304,0,0,0,0,11,23,50,127552
3.849996328,11884,3545,9384,281,989,51069,34906,4724,0,0,0,0,10,13,35,116840
3.949996233,10715,3085,8674,222,909,46815,32391,4415,0,0,0,0,13,11,40,107290
4.049996376,10030,2794,7938,184,840,42909,29825,3941,0,0,0,0,10,15,27,98513
4.149996281,9075,2503,7260,158,756,40087,27450,3731,0,0,0,0,3,14,30,91067
4.249996185,8343,2113,6600,117,633,36454,25035,3395,0,0,0,0,6,15,32,82743
4.34999609,7398,2001,5982,101,600,33210,22635,3020,0,0,0,0,14,16,28,75005
4.449995995,6758,1697,5382,78,530,29952,20822,2675,0,0,0,0,5,8,24,67931
4.549995899,6042,1462,4775,84,484,27172,18959,2542,0,0,0,0,6,8,16,61550
4.649995804,5456,1406,4499,76,411,24556,17302,2254,0,0,0,0,5,4,18,55987
4.749995708,4750,1249,3824,53,336,22079,15653,2012,0,0,0,0,2,4,21,49983
4.849995613,4315,1093,3493,48,298,19812,13682,1892,0,0,0,0,2,8,14,44657
4.949995518,3708,1008,3105,44,245,17480,11948,1518,0,0,0,0,6,4,16,39082
