,Distance (nm),Fe %,Mn %,Cr %,C %,Ni %,Al %,Cu %,NiH %,C2 %,C3 %,C4 %,Ca %,Ga %,H %,Sample Count
48,-0.2,639936.4549123629,219524,65608,29933,183800,223463.2215965907,105675,0,0,0,0,179,252,296,1469461
49,-0.1,600045.0542443136,208238,61748,29029,191215,225659.3434330784,103269,0,0,0,0,182,206,300,1420670
50,0.0,559466.050134434,198457,58063,27397,197665,228960.07740110852,100408,0,0,0,0,168,222,305,1371876
51,0.1,519141.3939216772,187353,53829,26759,203965,229755.4926619193,96993,0,0,0,0,143,235,314,1319234
52,0.2,479221.14669567795,176150,49626,25315,208810,231194.4110464195,92260,0,0,0,0,135,222,321,1263980
53,0.3,441173.69497629994,166926,46075,24142,212224,231976.577869075,88104,0,0,0,0,131,215,301,1211974
54,0.4,405440.2717467996,156979,42740,22503,214773,231566.02259119987,82951,0,0,0,0,110,182,275,1158200
55,0.5,369479.6697408952,147285,39283,21238,215641,230545.1186642238,78160,0,0,0,0,116,171,338,1102914
56,0.6,336105.4807370708,138226,36193,19434,216342,229014.0645877677,73822,0,0,0,0,108,180,303,1050359
57,0.7,306483.2085593384,129582,33111,18728,214427,225589.2816828346,68953,0,0,0,0,100,152,267,997997
58,0.8,279118.92634330003,121627,29812,17290,213405,222102.631960825,64247,0,0,0,0,76,157,293,948707
59,0.9,251569.31066638802,112600,27573,15935,210323,217788.365301597,60059,0,0,0,0,57,135,242,896835
60,1.0,227594.82634725282,105248,24829,15147,207266,211806.9881928132,56078,0,0,0,0,82,127,281,848985
61,1.1,204778.0680318384,98034,22443,13649,204033,206616.4934259596,52126,0,0,0,0,67,114,225,802584
62,1.2,182871.999964864,90667,20181,12559,200020,200607.611271216,48368,0,0,0,0,67,119,249,756183
63,1.3,163932.49317883482,84442,18080,11808,195522,194907.4763532087,44864,0,0,0,0,71,105,236,714418
64,1.4,145950.6492992304,78017,16253,11097,192135,188317.2285828076,41464,0,0,0,0,63,115,225,674062
