,Elements,Sum,Avg at%,St Dev
0,Fe %,355,21.36089664916442,8.629228011301086
1,Ni %,80,3.777793065782328,2.0449026238342918
2,Mn %,27,3.7367115565685833,4.44005711760141
3,Cu %,18,1.4209346205730735,1.250789871930179
4,V %,619,34.93112192735493,4.087224403703169
5,Mo %,74,3.743282967824086,1.9227805853861384
6,C %,541,30.10433641952223,9.204433293631142
7,Cr %,16,0.7910407820689458,0.8040046613062418
8,P %,4,0.13388201114139056,0.15418152055073683
