,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 10,297,297,346,,16.9802,12.2359,8.0439,0.7264,0.6491,0.4680,0.9242,1.7258,1.5644,1.0597,11.9842,,16.9802,12.2359,8.0439,0.7264,0.6491,0.4680,0.9242,1.7258,1.5644,1.0597,11.9842,,17.0035,12.2092,8.0530,0.7344,0.6319,0.4660,0.9058,1.7491,1.5378,1.0688,12.0413,,16.9802,12.2359,8.0439,0.4602,0.6455,0.7345,0.9140,0.9912,1.5454,1.6490,10.5804,,16.9802,12.2359,8.0439,0.4602,0.6455,0.7345,0.9140,0.9912,1.5454,1.6490,10.5804,,17.0035,12.2092,8.0530,0.4593,0.6306,0.7398,0.8974,1.0090,1.5328,1.7111,11.0847,,24.2424%,9.0909%,0.6734%,0.0000%,24.5791%,12.1212%,15.1515%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,14.1414%,0.0000%,,20.8092%,7.8035%,0.5780%,0.0000%,21.0983%,10.4046%,13.0058%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,12.1387%,0.0000%,,72,27,2,0,73,36,45,0,0,0,0,0,0,42,0
Cluster 11,2457,2459,2706,,3.9930,-9.1441,11.1046,1.0315,0.9910,1.0697,4.5800,2.5147,2.2892,2.3700,57.1483,,3.9933,-9.1444,11.1056,1.0313,0.9907,1.0699,4.5786,2.5149,2.2896,2.3710,57.1863,,3.9829,-9.1299,11.1024,1.0350,0.9877,1.0715,4.5881,2.5046,2.2751,2.3677,56.5136,,3.9930,-9.1441,11.1046,0.9275,1.0179,1.1375,4.4983,2.2964,2.3409,2.5747,57.9781,,3.9933,-9.1444,11.1056,0.9274,1.0176,1.1376,4.4969,2.2962,2.3422,2.5728,57.9584,,3.9829,-9.1299,11.1024,0.9321,1.0145,1.1388,4.5107,2.2780,2.3714,2.6086,59.0270,,22.8142%,11.4681%,1.9927%,0.4067%,24.7255%,9.7601%,12.4848%,0.0407%,0.1627%,0.2440%,0.0000%,0.0000%,0.0813%,15.8194%,0.0000%,,20.7317%,10.4213%,1.8108%,0.3695%,22.4686%,8.8692%,11.3452%,0.0370%,0.1478%,0.2217%,0.0000%,0.0000%,0.0739%,14.3755%,0.0000%,,561,282,49,10,608,240,307,1,4,6,0,0,2,389,0
Cluster 12,3130,3132,3530,,19.6056,-5.0672,11.0213,1.3960,1.3017,1.0525,8.0112,3.4215,3.0695,2.3263,102.3361,,19.6052,-5.0672,11.0205,1.3957,1.3014,1.0528,8.0097,3.4218,3.0694,2.3255,102.3101,,19.6261,-5.0556,11.0252,1.3907,1.3027,1.0517,7.9807,3.4010,3.0578,2.3302,101.5065,,19.6056,-5.0672,11.0213,1.0311,1.2622,1.4473,7.8899,2.3126,2.9321,3.1638,89.8631,,19.6052,-5.0672,11.0205,1.0315,1.2619,1.4469,7.8888,2.3119,2.9323,3.1639,89.8425,,19.6261,-5.0556,11.0252,1.0329,1.2646,1.4390,7.8738,2.3216,2.9324,3.1961,91.1420,,23.5632%,11.0153%,2.2031%,0.3831%,23.4036%,9.9298%,15.2618%,0.1916%,0.1916%,0.2235%,0.0000%,0.0319%,0.0319%,13.5696%,0.0000%,,20.9065%,9.7734%,1.9547%,0.3399%,20.7649%,8.8102%,13.5411%,0.1700%,0.1700%,0.1983%,0.0000%,0.0283%,0.0283%,12.0397%,0.0000%,,738,345,69,12,733,311,478,6,6,7,0,1,1,425,0
Cluster 13,1518,1518,1753,,11.6979,9.0323,13.1631,0.9356,2.3031,0.9270,8.3673,2.2965,5.3755,2.1749,112.4672,,11.6979,9.0323,13.1631,0.9356,2.3031,0.9270,8.3673,2.2965,5.3755,2.1749,112.4672,,11.7049,9.0476,13.1626,0.9360,2.3127,0.9244,8.3817,2.3035,5.3908,2.1745,113.1072,,11.6979,9.0323,13.1631,0.6983,0.8807,2.4033,6.1907,1.6843,2.3206,5.4908,89.8978,,11.6979,9.0323,13.1631,0.6983,0.8807,2.4033,6.1907,1.6843,2.3206,5.4908,89.8978,,11.7049,9.0476,13.1626,0.6910,0.8812,2.4136,6.1560,1.6922,2.3089,5.5046,90.0878,,23.6495%,11.6601%,1.4493%,0.5929%,24.5059%,10.4743%,14.9539%,0.0659%,0.4611%,0.0659%,0.0000%,0.0000%,0.0000%,12.1212%,0.0000%,,20.4792%,10.0970%,1.2550%,0.5134%,21.2208%,9.0702%,12.9492%,0.0570%,0.3993%,0.0570%,0.0000%,0.0000%,0.0000%,10.4963%,0.0000%,,359,177,22,9,372,159,227,1,7,1,0,0,0,184,0
Cluster 14,283,283,322,,-3.4171,16.1952,11.0882,0.5569,0.6584,0.4776,0.7334,1.3266,1.4233,1.1752,9.2948,,-3.4171,16.1952,11.0882,0.5569,0.6584,0.4776,0.7334,1.3266,1.4233,1.1752,9.2948,,-3.4125,16.2022,11.0741,0.5498,0.6529,0.4756,0.7150,1.3313,1.4302,1.1893,9.4859,,-3.4171,16.1952,11.0882,0.4508,0.5538,0.6796,0.7106,1.0606,1.3532,1.3859,8.3319,,-3.4171,16.1952,11.0882,0.4508,0.5538,0.6796,0.7106,1.0606,1.3532,1.3859,8.3319,,-3.4125,16.2022,11.0741,0.4486,0.5472,0.6738,0.6928,1.0696,1.3600,1.3945,8.4970,,19.7880%,10.9541%,2.1201%,0.0000%,24.3816%,12.7208%,14.8410%,0.3534%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,14.8410%,0.0000%,,17.3913%,9.6273%,1.8634%,0.0000%,21.4286%,11.1801%,13.0435%,0.3106%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,13.0435%,0.0000%,,56,31,6,0,69,36,42,1,0,0,0,0,0,42,0
Cluster 15,1283,1283,1348,,-16.0945,-15.0118,13.3616,0.8077,0.9734,0.8018,2.6406,1.8020,2.1415,1.9143,30.9426,,-16.0945,-15.0118,13.3616,0.8077,0.9734,0.8018,2.6406,1.8020,2.1415,1.9143,30.9426,,-16.1009,-15.0177,13.3714,0.8127,0.9696,0.8036,2.6526,1.8084,2.1474,1.9044,30.9790,,-16.0945,-15.0118,13.3616,0.7854,0.8042,0.9895,2.6181,1.8234,1.8875,2.1566,31.0907,,-16.0945,-15.0118,13.3616,0.7854,0.8042,0.9895,2.6181,1.8234,1.8875,2.1566,31.0907,,-16.1009,-15.0177,13.3714,0.7866,0.8075,0.9877,2.6280,1.8306,1.8375,2.1581,30.4083,,16.6797%,10.0546%,1.2471%,0.3118%,27.9034%,5.6898%,18.7841%,0.1559%,0.3897%,0.1559%,0.0000%,0.0000%,0.0000%,18.6282%,0.0000%,,15.8754%,9.5697%,1.1869%,0.2967%,26.5579%,5.4154%,17.8783%,0.1484%,0.3709%,0.1484%,0.0000%,0.0000%,0.0000%,17.7300%,0.0000%,,214,129,16,4,358,73,241,2,5,2,0,0,0,239,0
Cluster 16,2098,2099,2290,,-6.6315,-5.0682,14.0006,1.1177,1.0711,0.9467,4.7476,2.3055,2.3941,2.1333,49.3214,,-6.6309,-5.0684,13.9999,1.1177,1.0709,0.9471,4.7487,2.3050,2.3938,2.1325,49.2879,,-6.6277,-5.0640,13.9891,1.1178,1.0682,0.9495,4.7492,2.3017,2.3982,2.1218,49.0589,,-6.6315,-5.0682,14.0006,0.9220,1.0887,1.1214,4.7150,2.1641,2.5669,2.3655,55.0431,,-6.6309,-5.0684,13.9999,0.9225,1.0885,1.1213,4.7164,2.1629,2.5687,2.3643,55.0211,,-6.6277,-5.0640,13.9891,0.9249,1.0876,1.1198,4.7181,2.1545,2.6057,2.3205,54.5678,,20.9624%,10.9576%,1.9057%,0.6670%,26.1077%,8.9566%,16.3888%,0.0000%,0.3335%,0.1906%,0.0000%,0.0476%,0.0000%,13.4826%,0.0000%,,19.2140%,10.0437%,1.7467%,0.6114%,23.9301%,8.2096%,15.0218%,0.0000%,0.3057%,0.1747%,0.0000%,0.0437%,0.0000%,12.3581%,0.0000%,,440,230,40,14,548,188,344,0,7,4,0,1,0,283,0
Cluster 17,203,203,220,,-13.8405,-1.1987,12.0585,0.4719,0.4628,0.3988,0.3649,1.0973,1.0621,0.8907,4.3480,,-13.8405,-1.1987,12.0585,0.4719,0.4628,0.3988,0.3649,1.0973,1.0621,0.8907,4.3480,,-13.8577,-1.1902,12.0669,0.4701,0.4612,0.4004,0.3637,1.1145,1.0535,0.8991,4.4220,,-13.8405,-1.1987,12.0585,0.3686,0.4688,0.4902,0.3548,0.8698,1.0709,0.9831,3.8356,,-13.8405,-1.1987,12.0585,0.3686,0.4688,0.4902,0.3548,0.8698,1.0709,0.9831,3.8356,,-13.8577,-1.1902,12.0669,0.3689,0.4688,0.4881,0.3536,0.8721,1.0719,0.9836,3.8511,,23.6453%,11.8227%,0.9852%,0.4926%,25.6158%,7.8818%,14.2857%,0.0000%,0.0000%,0.4926%,0.0000%,0.0000%,0.0000%,14.7783%,0.0000%,,21.8182%,10.9091%,0.9091%,0.4545%,23.6364%,7.2727%,13.1818%,0.0000%,0.0000%,0.4545%,0.0000%,0.0000%,0.0000%,13.6364%,0.0000%,,48,24,2,1,52,16,29,0,0,1,0,0,0,30,0
Cluster 18,1610,1611,1828,,-11.9063,15.8560,13.1129,1.0451,1.0603,0.8425,3.9109,2.2503,2.3329,1.8451,40.5756,,-11.9064,15.8554,13.1124,1.0448,1.0602,0.8425,3.9091,2.2502,2.3335,1.8446,40.5714,,-11.9010,15.8624,13.1025,1.0411,1.0557,0.8445,3.8883,2.2556,2.3265,1.8347,40.3287,,-11.9063,15.8560,13.1129,0.8188,1.0343,1.0891,3.8637,1.9304,2.2900,2.3335,43.2090,,-11.9064,15.8554,13.1124,0.8189,1.0340,1.0888,3.8622,1.9295,2.2897,2.3337,43.1862,,-11.9010,15.8624,13.1025,0.8224,1.0324,1.0814,3.8462,1.9239,2.3017,2.3394,43.3934,,23.0912%,10.4283%,1.6760%,0.2483%,25.8225%,9.9938%,14.4631%,0.0000%,0.1862%,0.1862%,0.0000%,0.0621%,0.0000%,13.8423%,0.0000%,,20.3501%,9.1904%,1.4770%,0.2188%,22.7571%,8.8074%,12.7462%,0.0000%,0.1641%,0.1641%,0.0000%,0.0547%,0.0000%,12.1991%,0.0000%,,372,168,27,4,416,161,233,0,3,3,0,1,0,223,0
Cluster 19,559,560,592,,-2.9676,-13.7434,13.3287,0.7386,0.6243,0.5162,0.9971,1.8521,1.4806,1.3436,15.4338,,-2.9674,-13.7420,13.3269,0.7379,0.6247,0.5174,0.9991,1.8524,1.4820,1.3454,15.4710,,-2.9694,-13.7355,13.3273,0.7421,0.6290,0.5179,1.0125,1.8503,1.4885,1.3450,15.5164,,-2.9676,-13.7434,13.3287,0.5070,0.6124,0.7548,0.9817,1.2739,1.3972,1.9845,14.7959,,-2.9674,-13.7420,13.3269,0.5076,0.6134,0.7541,0.9834,1.2744,1.3941,1.9845,14.7687,,-2.9694,-13.7355,13.3273,0.5093,0.6139,0.7604,0.9958,1.2739,1.4019,1.9819,14.8256,,18.3929%,11.9643%,1.4286%,0.5357%,26.7857%,6.7857%,14.6429%,0.0000%,0.7143%,0.1786%,0.0000%,0.0000%,0.1786%,18.3929%,0.0000%,,17.3986%,11.3176%,1.3514%,0.5068%,25.3378%,6.4189%,13.8514%,0.0000%,0.6757%,0.1689%,0.0000%,0.0000%,0.1689%,17.3986%,0.0000%,,103,67,8,3,150,38,82,0,4,1,0,0,1,103,0
