,Solute Ions,Ranged Ions,Total Ions,,Center_x (nm) Solute,Center_y (nm) Solute,Center_z (nm) Solute,R_gx (nm) Solute,R_gy (nm) Solute,R_gz (nm) Solute,V_Rg (nm^3) Solute,Extent_x (nm) Solute,Extent_y (nm) Solute,Extent_z (nm) Solute,V_Extent (nm^3) Solute,,Center_x (nm) Ranged,Center_y (nm) Ranged,Center_z (nm) Ranged,R_gx (nm) Ranged,R_gy (nm) Ranged,R_gz (nm) Ranged,V_Rg (nm^3) Ranged,Extent_x (nm) Ranged,Extent_y (nm) Ranged,Extent_z (nm) Ranged,V_Extent (nm^3) Ranged,,Center_x (nm) Total,Center_y (nm) Total,Center_z (nm) Total,R_gx (nm) Total,R_gy (nm) Total,R_gz (nm) Total,V_Rg (nm^3) Total,Extent_x (nm) Total,Extent_y (nm) Total,Extent_z (nm) Total,V_Extent (nm^3) Total,,Center_x (nm) Solute',Center_y (nm) Solute',Center_z (nm) Solute',R_gx (nm) Solute',R_gy (nm) Solute',R_gz (nm) Solute',V_Rg (nm^3) Solute',Extent_x (nm) Solute',Extent_y (nm) Solute',Extent_z (nm) Solute',V_Extent (nm^3) Solute',,Center_x (nm) Ranged',Center_y (nm) Ranged',Center_z (nm) Ranged',R_gx (nm) Ranged',R_gy (nm) Ranged',R_gz (nm) Ranged',V_Rg (nm^3) Ranged',Extent_x (nm) Ranged',Extent_y (nm) Ranged',Extent_z (nm) Ranged',V_Extent (nm^3) Ranged',,Center_x (nm) Total',Center_y (nm) Total',Center_z (nm) Total',R_gx (nm) Total',R_gy (nm) Total',R_gz (nm) Total',V_Rg (nm^3) Total',Extent_x (nm) Total',Extent_y (nm) Total',Extent_z (nm) Total',V_Extent (nm^3) Total',,Fe % Ranged,Mn % Ranged,Cr % Ranged,C % Ranged,Ni % Ranged,Al % Ranged,Cu % Ranged,NiH % Ranged,C2 % Ranged,C3 % Ranged,C4 % Ranged,Ca % Ranged,Ga % Ranged,Rn % Ranged,H % Ranged,,Fe % Total,Mn % Total,Cr % Total,C % Total,Ni % Total,Al % Total,Cu % Total,NiH % Total,C2 % Total,C3 % Total,C4 % Total,Ca % Total,Ga % Total,Rn % Total,H % Total,,Fe Count,Mn Count,Cr Count,C Count,Ni Count,Al Count,Cu Count,NiH Count,C2 Count,C3 Count,C4 Count,Ca Count,Ga Count,Rn Count,H Count
Cluster 80,211,212,230,,-8.7156,-3.8211,38.4932,0.5420,0.4688,0.4482,0.4771,1.2587,1.0182,0.9073,4.8704,,-8.7122,-3.8192,38.4919,0.5430,0.4685,0.4475,0.4769,1.2621,1.0200,0.9060,4.8854,,-8.7026,-3.8172,38.4961,0.5359,0.4596,0.4526,0.4669,1.2717,1.0221,0.9101,4.9555,,-8.7156,-3.8211,38.4932,0.3611,0.4604,0.6100,0.4248,0.7984,1.0428,1.2425,4.3332,,-8.7122,-3.8192,38.4919,0.3602,0.4595,0.6113,0.4238,0.7983,1.0428,1.2371,4.3139,,-8.7026,-3.8172,38.4961,0.3566,0.4652,0.5997,0.4168,0.8177,1.0285,1.2375,4.3594,,23.5849%,9.4340%,0.9434%,0.0000%,25.9434%,7.5472%,20.2830%,0.0000%,0.4717%,0.4717%,0.0000%,0.0000%,0.4717%,10.8491%,0.0000%,,21.7391%,8.6957%,0.8696%,0.0000%,23.9130%,6.9565%,18.6957%,0.0000%,0.4348%,0.4348%,0.0000%,0.0000%,0.4348%,10.0000%,0.0000%,,50,20,2,0,55,16,43,0,1,1,0,0,1,23,0
Cluster 81,3774,3775,4313,,-12.1029,18.7719,40.2632,1.4203,1.4255,1.1949,10.1339,2.9653,3.1960,2.7644,109.7438,,-12.1026,18.7717,40.2634,1.4203,1.4254,1.1948,10.1325,2.9649,3.1958,2.7647,109.7293,,-12.0949,18.7985,40.2453,1.4177,1.4242,1.1951,10.1078,2.9573,3.2226,2.7977,111.6850,,-12.1029,18.7719,40.2632,1.1858,1.4210,1.4324,10.1103,2.8139,2.9823,3.1079,109.2518,,-12.1026,18.7717,40.2634,1.1858,1.4210,1.4322,10.1090,2.8140,2.9795,3.1054,109.0625,,-12.0949,18.7985,40.2453,1.1867,1.4178,1.4311,10.0861,2.8392,3.0995,3.1258,115.2238,,25.7748%,11.6026%,2.4636%,0.3444%,23.5762%,11.7351%,13.2980%,0.1060%,0.2119%,0.2914%,0.0000%,0.0000%,0.0265%,10.5695%,0.0000%,,22.5597%,10.1553%,2.1563%,0.3014%,20.6353%,10.2713%,11.6392%,0.0927%,0.1855%,0.2550%,0.0000%,0.0000%,0.0232%,9.2511%,0.0000%,,973,438,93,13,890,443,502,4,8,11,0,0,1,399,0
Cluster 82,1124,1124,1206,,11.2001,-20.5534,40.3000,0.8476,0.7610,0.6321,1.7079,2.0818,1.7453,1.3971,21.2623,,11.2001,-20.5534,40.3000,0.8476,0.7610,0.6321,1.7079,2.0818,1.7453,1.3971,21.2623,,11.2087,-20.5625,40.2984,0.8547,0.7594,0.6301,1.7132,2.0905,1.7544,1.3987,21.4867,,11.2001,-20.5534,40.3000,0.6257,0.7489,0.8630,1.6940,1.3759,1.8535,2.0631,22.0385,,11.2001,-20.5534,40.3000,0.6257,0.7489,0.8630,1.6940,1.3759,1.8535,2.0631,22.0385,,11.2087,-20.5625,40.2984,0.6240,0.7462,0.8707,1.6982,1.3767,1.8647,2.0709,22.2686,,26.6904%,11.1210%,2.8470%,0.2669%,20.7295%,9.4306%,13.9680%,0.0000%,0.4448%,0.2669%,0.0000%,0.0000%,0.0000%,14.2349%,0.0000%,,24.8756%,10.3648%,2.6534%,0.2488%,19.3201%,8.7894%,13.0182%,0.0000%,0.4146%,0.2488%,0.0000%,0.0000%,0.0000%,13.2670%,0.0000%,,300,125,32,3,233,106,157,0,5,3,0,0,0,160,0
Cluster 83,214,214,238,,18.6643,-9.6422,39.7356,0.4577,0.4262,0.6235,0.5094,1.0027,1.0682,1.5417,6.9166,,18.6643,-9.6422,39.7356,0.4577,0.4262,0.6235,0.5094,1.0027,1.0682,1.5417,6.9166,,18.6659,-9.6333,39.7116,0.4566,0.4292,0.6103,0.5010,1.0012,1.0771,1.5176,6.8549,,18.6643,-9.6422,39.7356,0.3705,0.4585,0.6575,0.4679,0.9629,1.0812,1.7296,7.5427,,18.6643,-9.6422,39.7356,0.3705,0.4585,0.6575,0.4679,0.9629,1.0812,1.7296,7.5427,,18.6659,-9.6333,39.7116,0.3738,0.4556,0.6465,0.4612,0.9641,1.0901,1.7086,7.5218,,24.2991%,12.1495%,2.8037%,0.0000%,17.2897%,12.1495%,13.5514%,0.0000%,0.4673%,0.4673%,0.0000%,0.0000%,0.0000%,16.8224%,0.0000%,,21.8487%,10.9244%,2.5210%,0.0000%,15.5462%,10.9244%,12.1849%,0.0000%,0.4202%,0.4202%,0.0000%,0.0000%,0.0000%,15.1261%,0.0000%,,52,26,6,0,37,26,29,0,1,1,0,0,0,36,0
Cluster 84,1580,1581,1774,,14.4908,-2.0753,40.0583,1.0340,1.0650,0.8116,3.7436,2.2934,2.4909,1.7440,41.7318,,14.4902,-2.0765,40.0586,1.0340,1.0656,0.8115,3.7450,2.2941,2.4920,1.7436,41.7544,,14.4886,-2.0726,40.0508,1.0303,1.0667,0.8045,3.7033,2.2956,2.4881,1.7515,41.9051,,14.4908,-2.0753,40.0583,0.7907,1.0087,1.1042,3.6891,1.7983,2.2886,2.5083,43.2427,,14.4902,-2.0765,40.0586,0.7904,1.0096,1.1041,3.6906,1.7984,2.2905,2.5087,43.2852,,14.4886,-2.0726,40.0508,0.7872,0.9997,1.1078,3.6521,1.8052,2.2896,2.5045,43.3598,,27.9570%,11.7647%,1.8975%,0.5693%,22.4541%,11.0689%,11.4485%,0.0000%,0.1265%,0.1898%,0.1265%,0.0000%,0.0633%,12.3340%,0.0000%,,24.9154%,10.4848%,1.6911%,0.5073%,20.0113%,9.8647%,10.2029%,0.0000%,0.1127%,0.1691%,0.1127%,0.0000%,0.0564%,10.9921%,0.0000%,,442,186,30,9,355,175,181,0,2,3,2,0,1,195,0
Cluster 85,7680,7689,8451,,12.3798,-15.8406,42.3814,3.1271,2.1606,1.1846,33.5251,5.8896,4.4436,3.0898,338.7142,,12.3782,-15.8402,42.3826,3.1279,2.1614,1.1846,33.5464,5.8881,4.4431,3.0886,338.4578,,12.3938,-15.8513,42.3803,3.1206,2.1662,1.1864,33.5944,5.9036,4.4542,3.0908,340.4459,,12.3798,-15.8406,42.3814,1.0724,1.1921,3.6440,19.5132,2.6586,3.0530,6.5570,222.9318,,12.3782,-15.8402,42.3826,1.0721,1.1922,3.6453,19.5174,2.6585,3.0520,6.5554,222.7905,,12.3938,-15.8513,42.3803,1.0704,1.1936,3.6425,19.4940,2.6507,3.0477,6.5729,222.4188,,25.3609%,12.5634%,2.1719%,0.4032%,22.7988%,8.9218%,14.3452%,0.1171%,0.1561%,0.3121%,0.0000%,0.0390%,0.0780%,12.7325%,0.0000%,,23.0742%,11.4306%,1.9761%,0.3668%,20.7431%,8.1174%,13.0517%,0.1065%,0.1420%,0.2840%,0.0000%,0.0355%,0.0710%,11.5844%,0.0000%,,1950,966,167,31,1753,686,1103,9,12,24,0,3,6,979,0
Cluster 86,367,367,389,,-14.5162,-6.5522,40.4161,0.5915,0.5610,0.4784,0.6649,1.2934,1.2289,1.1540,7.6836,,-14.5162,-6.5522,40.4161,0.5915,0.5610,0.4784,0.6649,1.2934,1.2289,1.1540,7.6836,,-14.5279,-6.5608,40.4079,0.5907,0.5585,0.4783,0.6610,1.3051,1.2203,1.1458,7.6440,,-14.5162,-6.5522,40.4161,0.4563,0.5766,0.5939,0.6546,1.0245,1.3395,1.2826,7.3729,,-14.5162,-6.5522,40.4161,0.4563,0.5766,0.5939,0.6546,1.0245,1.3395,1.2826,7.3729,,-14.5279,-6.5608,40.4079,0.4566,0.5748,0.5922,0.6511,1.0114,1.3016,1.3144,7.2481,,19.8910%,12.2616%,1.6349%,0.2725%,23.4332%,6.5395%,18.8011%,0.0000%,0.8174%,0.0000%,0.0000%,0.0000%,0.0000%,16.3488%,0.0000%,,18.7661%,11.5681%,1.5424%,0.2571%,22.1080%,6.1697%,17.7378%,0.0000%,0.7712%,0.0000%,0.0000%,0.0000%,0.0000%,15.4242%,0.0000%,,73,45,6,1,86,24,69,0,3,0,0,0,0,60,0
Cluster 87,2548,2548,3028,,18.9071,11.4178,41.4535,1.3013,1.4444,0.9947,7.8317,2.9431,3.2335,2.3984,95.6077,,18.9071,11.4178,41.4535,1.3013,1.4444,0.9947,7.8317,2.9431,3.2335,2.3984,95.6077,,18.9033,11.4304,41.4368,1.3099,1.4405,0.9931,7.8496,2.9832,3.2275,2.3817,96.0571,,18.9071,11.4178,41.4535,0.9925,1.2958,1.4509,7.8161,2.3246,2.9407,3.2887,94.1720,,18.9071,11.4178,41.4535,0.9925,1.2958,1.4509,7.8161,2.3246,2.9407,3.2887,94.1720,,18.9033,11.4304,41.4368,0.9915,1.3072,1.4441,7.8399,2.3220,2.9416,3.2747,93.6890,,26.0989%,11.6954%,2.4725%,0.3925%,23.6264%,10.8320%,12.9121%,0.1962%,0.2747%,0.2747%,0.0392%,0.0000%,0.0000%,11.1852%,0.0000%,,21.9617%,9.8415%,2.0806%,0.3303%,19.8811%,9.1149%,10.8653%,0.1651%,0.2312%,0.2312%,0.0330%,0.0000%,0.0000%,9.4122%,0.0000%,,665,298,63,10,602,276,329,5,7,7,1,0,0,285,0
Cluster 88,1400,1401,1579,,-5.2508,10.9167,41.7318,1.1083,1.0553,0.7774,3.8082,2.4992,2.2236,1.8281,42.5544,,-5.2501,10.9159,41.7323,1.1082,1.0553,0.7774,3.8084,2.5000,2.2228,1.8287,42.5655,,-5.2515,10.8979,41.7325,1.1007,1.0442,0.7767,3.7393,2.4986,2.2168,1.8289,42.4318,,-5.2508,10.9167,41.7318,0.7634,0.9879,1.1779,3.7210,1.7464,2.3331,2.6102,44.5482,,-5.2501,10.9159,41.7323,0.7636,0.9882,1.1775,3.7221,1.7481,2.3310,2.6101,44.5508,,-5.2515,10.8979,41.7325,0.7616,0.9895,1.1602,3.6624,1.7436,2.3157,2.5925,43.8452,,20.9850%,10.7780%,1.6417%,0.5710%,25.0535%,10.9921%,17.4875%,0.0000%,0.2141%,0.0714%,0.0000%,0.0714%,0.0000%,12.1342%,0.0000%,,18.6194%,9.5630%,1.4566%,0.5066%,22.2293%,9.7530%,15.5161%,0.0000%,0.1900%,0.0633%,0.0000%,0.0633%,0.0000%,10.7663%,0.0000%,,294,151,23,8,351,154,245,0,3,1,0,1,0,170,0
Cluster 89,3666,3669,4171,,8.8347,5.8059,43.3200,1.2844,1.3089,1.1976,8.4333,2.9547,3.0349,2.5903,97.2929,,8.8346,5.8068,43.3203,1.2842,1.3090,1.1972,8.4298,2.9546,3.0357,2.5906,97.3301,,8.8370,5.8107,43.3150,1.2847,1.3038,1.1997,8.4174,2.9570,3.0397,2.5853,97.3382,,8.8347,5.8059,43.3200,1.1841,1.2900,1.3157,8.4179,2.5940,2.9365,2.8466,90.8275,,8.8346,5.8068,43.3203,1.1837,1.2898,1.3157,8.4143,2.5939,2.9364,2.8448,90.7654,,8.8370,5.8107,43.3150,1.1886,1.2877,1.3110,8.4050,2.6027,2.9326,2.8292,90.4543,,22.9218%,11.6926%,1.7716%,0.3271%,23.6849%,10.2208%,15.8899%,0.0818%,0.2998%,0.0818%,0.0000%,0.0000%,0.0818%,12.9463%,0.0000%,,20.1630%,10.2853%,1.5584%,0.2877%,20.8343%,8.9906%,13.9775%,0.0719%,0.2637%,0.0719%,0.0000%,0.0000%,0.0719%,11.3882%,0.0000%,,841,429,65,12,869,375,583,3,11,3,0,0,3,475,0
Cluster 90,3791,3793,4061,,-13.3400,-12.3716,43.7140,1.2886,1.5399,1.0719,8.9092,2.9663,3.4794,2.5483,110.1687,,-13.3392,-12.3715,43.7142,1.2890,1.5399,1.0719,8.9119,2.9654,3.4794,2.5481,110.1237,,-13.3389,-12.3621,43.7146,1.2922,1.5327,1.0724,8.8976,2.9652,3.6422,2.5476,115.2502,,-13.3400,-12.3716,43.7140,0.9827,1.3204,1.5721,8.5443,2.0628,2.9638,3.5127,89.9542,,-13.3392,-12.3715,43.7142,0.9828,1.3208,1.5720,8.5478,2.0624,2.9626,3.5139,89.9309,,-13.3389,-12.3621,43.7146,0.9821,1.3262,1.5640,8.5323,2.0674,2.9554,3.6065,92.3021,,20.9597%,11.3894%,1.6610%,0.4746%,26.8389%,10.5985%,12.9185%,0.0527%,0.3955%,0.3164%,0.0000%,0.0527%,0.0000%,14.3422%,0.0000%,,19.5765%,10.6378%,1.5513%,0.4432%,25.0677%,9.8990%,12.0660%,0.0492%,0.3694%,0.2955%,0.0000%,0.0492%,0.0000%,13.3957%,0.0000%,,795,432,63,18,1018,402,490,2,15,12,0,2,0,544,0
Cluster 91,450,451,486,,-20.0831,-4.1435,42.4517,0.6648,0.6315,0.4995,0.8784,1.4718,1.3398,1.1290,9.3255,,-20.0859,-4.1439,42.4529,0.6666,0.6309,0.4996,0.8801,1.4690,1.3402,1.1302,9.3208,,-20.0809,-4.1487,42.4494,0.6597,0.6279,0.4950,0.8589,1.4740,1.3450,1.1267,9.3565,,-20.0831,-4.1435,42.4517,0.4828,0.6177,0.6897,0.8615,1.0726,1.3194,1.4312,8.4845,,-20.0859,-4.1439,42.4529,0.4823,0.6174,0.6914,0.8625,1.0723,1.3173,1.4365,8.5002,,-20.0809,-4.1487,42.4494,0.4773,0.6148,0.6846,0.8415,1.0703,1.3116,1.4339,8.4314,,18.1818%,12.1951%,1.9956%,0.2217%,24.1685%,8.2040%,19.7339%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.2217%,15.0776%,0.0000%,,16.8724%,11.3169%,1.8519%,0.2058%,22.4280%,7.6132%,18.3128%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.2058%,13.9918%,0.0000%,,82,55,9,1,109,37,89,0,0,0,0,0,1,68,0
Cluster 92,1205,1205,1353,,18.7123,-4.4760,43.8544,0.7998,0.9438,0.8333,2.6345,1.9000,2.1327,1.8671,31.6908,,18.7123,-4.4760,43.8544,0.7998,0.9438,0.8333,2.6345,1.9000,2.1327,1.8671,31.6908,,18.7150,-4.4654,43.8452,0.8100,0.9410,0.8426,2.6900,1.9027,2.1220,1.8632,31.5103,,18.7123,-4.4760,43.8544,0.7659,0.8335,0.9713,2.5971,1.8270,1.8441,2.2098,31.1866,,18.7123,-4.4760,43.8544,0.7659,0.8335,0.9713,2.5971,1.8270,1.8441,2.2098,31.1866,,18.7150,-4.4654,43.8452,0.7716,0.8436,0.9718,2.6498,1.8285,1.8368,2.2236,31.2825,,23.4025%,13.3610%,2.0747%,0.3320%,21.4938%,8.8797%,15.2697%,0.0830%,0.0830%,0.4149%,0.0000%,0.0000%,0.0000%,14.6058%,0.0000%,,20.8426%,11.8995%,1.8477%,0.2956%,19.1426%,7.9084%,13.5994%,0.0739%,0.0739%,0.3695%,0.0000%,0.0000%,0.0000%,13.0081%,0.0000%,,282,161,25,4,259,107,184,1,1,5,0,0,0,176,0
Cluster 93,2894,2897,3255,,-3.3707,3.2720,43.1593,1.5043,1.3695,0.8889,7.6704,3.2469,3.0801,2.0718,86.7865,,-3.3708,3.2722,43.1597,1.5049,1.3690,0.8888,7.6703,3.2470,3.0802,2.0722,86.8124,,-3.3569,3.2754,43.1515,1.4969,1.3618,0.8922,7.6187,3.2331,3.0834,2.0639,86.1837,,-3.3707,3.2720,43.1593,0.8828,1.1267,1.6969,7.0704,2.0313,2.5862,3.6976,81.3660,,-3.3708,3.2722,43.1597,0.8828,1.1263,1.6973,7.0693,2.0317,2.5852,3.6973,81.3441,,-3.3569,3.2754,43.1515,0.8867,1.1299,1.6818,7.0578,2.0256,2.6349,3.7094,82.9297,,24.8188%,10.0449%,1.8295%,0.5523%,25.9234%,8.4570%,15.2226%,0.0690%,0.2761%,0.0690%,0.0345%,0.0690%,0.0345%,12.5992%,0.0000%,,22.0891%,8.9401%,1.6283%,0.4916%,23.0722%,7.5269%,13.5484%,0.0614%,0.2458%,0.0614%,0.0307%,0.0614%,0.0307%,11.2135%,0.0000%,,719,291,53,16,751,245,441,2,8,2,1,2,1,365,0
Cluster 94,5603,5611,6467,,6.5457,15.1438,43.9417,1.6692,2.0387,1.2249,17.4605,3.8563,4.5103,2.7551,200.7255,,6.5480,15.1447,43.9408,1.6697,2.0386,1.2248,17.4629,3.8540,4.5094,2.7542,200.4986,,6.5588,15.1849,43.9262,1.6684,2.0378,1.2195,17.3677,3.8432,4.4692,2.8031,201.6760,,6.5457,15.1438,43.9417,1.1257,1.5973,2.1504,16.1973,2.5051,3.5700,4.5712,171.2450,,6.5480,15.1447,43.9408,1.1254,1.5978,2.1504,16.1979,2.5054,3.5680,4.5731,171.2355,,6.5588,15.1849,43.9262,1.1231,1.5975,2.1472,16.1356,2.5133,3.5740,4.6176,173.7448,,23.7213%,11.9230%,2.0674%,0.2673%,27.1609%,12.2973%,10.2121%,0.0713%,0.1960%,0.1248%,0.0178%,0.0356%,0.1069%,11.7983%,0.0000%,,20.5814%,10.3448%,1.7937%,0.2319%,23.5658%,10.6696%,8.8604%,0.0619%,0.1701%,0.1082%,0.0155%,0.0309%,0.0928%,10.2366%,0.0000%,,1331,669,116,15,1524,690,573,4,11,7,1,2,6,662,0
Cluster 95,677,678,731,,5.8098,-20.4700,45.1456,0.7193,0.6831,0.5512,1.1344,1.6888,1.5889,1.1926,13.4057,,5.8089,-20.4710,45.1449,0.7191,0.6831,0.5511,1.1338,1.6880,1.5899,1.1920,13.3997,,5.8116,-20.4658,45.1389,0.7319,0.6894,0.5466,1.1552,1.6907,1.5848,1.1859,13.3100,,5.8098,-20.4700,45.1456,0.5345,0.6788,0.7358,1.1182,1.2068,1.4818,1.5739,11.7889,,5.8089,-20.4710,45.1449,0.5343,0.6785,0.7359,1.1174,1.2060,1.4824,1.5696,11.7542,,5.8116,-20.4658,45.1389,0.5286,0.6878,0.7466,1.1368,1.1987,1.5343,1.6331,12.5814,,21.5339%,10.1770%,2.5074%,0.1475%,23.7463%,9.1445%,15.7817%,0.0000%,0.4425%,0.1475%,0.0000%,0.0000%,0.1475%,16.2242%,0.0000%,,19.9726%,9.4391%,2.3256%,0.1368%,22.0246%,8.4815%,14.6375%,0.0000%,0.4104%,0.1368%,0.0000%,0.0000%,0.1368%,15.0479%,0.0000%,,146,69,17,1,161,62,107,0,3,1,0,0,1,110,0
Cluster 96,3936,3936,4243,,-3.7316,-18.2704,45.7961,1.3996,1.3332,1.0739,8.3936,3.2931,3.3052,2.3508,107.1771,,-3.7316,-18.2704,45.7961,1.3996,1.3332,1.0739,8.3936,3.2931,3.3052,2.3508,107.1771,,-3.7358,-18.2719,45.7898,1.3967,1.3311,1.0798,8.4089,3.2890,3.3066,2.3444,106.7997,,-3.7316,-18.2704,45.7961,1.0279,1.2745,1.4861,8.1554,2.2627,2.9420,3.2096,89.4967,,-3.7316,-18.2704,45.7961,1.0279,1.2745,1.4861,8.1554,2.2627,2.9420,3.2096,89.4967,,-3.7358,-18.2719,45.7898,1.0298,1.2805,1.4793,8.1710,2.2515,2.9479,3.2063,89.1423,,21.0366%,11.4329%,2.0579%,0.3557%,26.6768%,9.1972%,11.2297%,0.1016%,0.4827%,0.2033%,0.0254%,0.0000%,0.0000%,17.2002%,0.0000%,,19.5145%,10.6057%,1.9090%,0.3300%,24.7466%,8.5317%,10.4172%,0.0943%,0.4478%,0.1885%,0.0236%,0.0000%,0.0000%,15.9557%,0.0000%,,828,450,81,14,1050,362,442,4,19,8,1,0,0,677,0
Cluster 97,10677,10680,11648,,-20.1850,7.8244,47.1985,2.0020,3.6801,1.6388,50.5752,5.1017,7.6599,3.8016,622.2851,,-20.1847,7.8245,47.1985,2.0019,3.6808,1.6386,50.5780,5.1013,7.6600,3.8016,622.2474,,-20.1930,7.8509,47.1940,2.0055,3.6706,1.6399,50.5679,5.1096,7.6864,3.7970,624.6697,,-20.1850,7.8244,47.1985,1.1246,1.4243,4.1162,27.6177,2.6417,3.4122,8.1567,307.9792,,-20.1847,7.8245,47.1985,1.1245,1.4245,4.1167,27.6231,2.6418,3.4130,8.1568,308.0639,,-20.1930,7.8509,47.1940,1.1233,1.4267,4.1095,27.5870,2.6327,3.4132,8.1808,307.9290,,22.3689%,11.8446%,2.2846%,0.4401%,24.8970%,10.7397%,11.8539%,0.1124%,0.2715%,0.2247%,0.0187%,0.0187%,0.0094%,14.9157%,0.0000%,,20.5100%,10.8602%,2.0948%,0.4035%,22.8280%,9.8472%,10.8688%,0.1030%,0.2490%,0.2060%,0.0172%,0.0172%,0.0086%,13.6762%,0.0000%,,2389,1265,244,47,2659,1147,1266,12,29,24,2,2,1,1593,0
Cluster 98,4069,4072,4622,,-1.5000,15.0876,46.8717,2.4220,1.6943,1.5955,27.4249,5.0999,3.9769,4.4002,373.8291,,-1.4993,15.0872,46.8714,2.4224,1.6938,1.5953,27.4178,5.1005,3.9765,4.4005,373.8594,,-1.4805,15.0911,46.8652,2.4082,1.6884,1.5928,27.1291,5.1193,3.9804,4.4067,376.1406,,-1.5000,15.0876,46.8717,0.9472,1.0340,3.0522,12.5227,2.1888,2.4620,6.2747,141.6376,,-1.4993,15.0872,46.8714,0.9473,1.0341,3.0521,12.5236,2.1885,2.4609,6.2737,141.5332,,-1.4805,15.0911,46.8652,0.9466,1.0374,3.0356,12.4874,2.1975,2.4500,6.2669,141.3320,,26.3016%,12.0334%,2.1857%,0.3438%,23.2318%,11.1002%,13.4578%,0.0491%,0.4666%,0.2210%,0.0000%,0.0246%,0.0491%,10.5354%,0.0000%,,23.1718%,10.6015%,1.9256%,0.3029%,20.4673%,9.7793%,11.8563%,0.0433%,0.4111%,0.1947%,0.0000%,0.0216%,0.0433%,9.2817%,0.0000%,,1071,490,89,14,946,452,548,2,19,9,0,1,2,429,0
Cluster 99,11589,11594,12803,,6.4047,-5.4407,48.1986,2.1475,2.2058,1.5077,29.9151,5.4445,5.0818,3.8053,441.0243,,6.4047,-5.4403,48.1986,2.1472,2.2055,1.5078,29.9096,5.4446,5.0822,3.8053,441.0590,,6.3984,-5.4277,48.1873,2.1533,2.2032,1.5093,29.9929,5.4383,5.0948,3.7941,440.3370,,6.4047,-5.4407,48.1986,1.2170,2.0804,2.4374,25.8499,2.7253,5.0743,6.0868,352.5812,,6.4047,-5.4403,48.1986,1.2172,2.0803,2.4370,25.8475,2.7253,5.0739,6.0867,352.5544,,6.3984,-5.4277,48.1873,1.2191,2.0795,2.4410,25.9199,2.7167,5.0576,6.1489,353.8971,,22.0545%,11.9286%,2.0528%,0.4313%,27.0140%,10.8849%,9.8068%,0.0863%,0.2846%,0.2588%,0.0000%,0.0086%,0.0345%,15.1544%,0.0000%,,19.9719%,10.8022%,1.8589%,0.3905%,24.4630%,9.8571%,8.8807%,0.0781%,0.2578%,0.2343%,0.0000%,0.0078%,0.0312%,13.7233%,0.0000%,,2557,1383,238,50,3132,1262,1137,10,33,30,0,1,4,1757,0
Cluster 100,454,454,503,,-15.6464,10.2085,45.2477,0.8308,0.7306,0.4033,1.0254,1.8569,1.6786,1.0072,13.1502,,-15.6464,10.2085,45.2477,0.8308,0.7306,0.4033,1.0254,1.8569,1.6786,1.0072,13.1502,,-15.6440,10.2374,45.2383,0.8260,0.7388,0.4034,1.0313,1.8593,1.6751,0.9978,13.0173,,-15.6464,10.2085,45.2477,0.3925,0.7035,0.8589,0.9934,0.9332,1.5289,1.9333,11.5539,,-15.6464,10.2085,45.2477,0.3925,0.7035,0.8589,0.9934,0.9332,1.5289,1.9333,11.5539,,-15.6440,10.2374,45.2383,0.3930,0.7122,0.8539,1.0012,0.9463,1.6072,1.9151,12.2005,,25.3304%,8.5903%,2.2026%,0.4405%,24.8899%,10.7930%,12.1145%,0.2203%,0.4405%,0.2203%,0.0000%,0.0000%,0.0000%,14.7577%,0.0000%,,22.8628%,7.7535%,1.9881%,0.3976%,22.4652%,9.7416%,10.9344%,0.1988%,0.3976%,0.1988%,0.0000%,0.0000%,0.0000%,13.3201%,0.0000%,,115,39,10,2,113,49,55,1,2,1,0,0,0,67,0
Cluster 101,3349,3351,3756,,-17.9684,18.5223,47.3310,1.2129,1.2691,1.2413,8.0036,2.6547,2.9367,2.7510,89.8360,,-17.9672,18.5227,47.3309,1.2136,1.2688,1.2411,8.0050,2.6535,2.9371,2.7511,89.8108,,-17.9587,18.5314,47.3284,1.2078,1.2698,1.2406,7.9691,2.6450,2.9458,2.7535,89.8682,,-17.9684,18.5223,47.3310,1.1932,1.2423,1.2866,7.9891,2.7348,2.7087,2.9666,92.0540,,-17.9672,18.5227,47.3309,1.1941,1.2420,1.2863,7.9908,2.7359,2.7088,2.9671,92.1093,,-17.9587,18.5314,47.3284,1.1902,1.2419,1.2850,7.9557,2.6808,2.7255,2.9843,91.3374,,23.9928%,12.3247%,1.6711%,0.5073%,23.6347%,10.2954%,14.4733%,0.1492%,0.1492%,0.1791%,0.0000%,0.0298%,0.0298%,12.5634%,0.0000%,,21.4058%,10.9957%,1.4909%,0.4526%,21.0863%,9.1853%,12.9127%,0.1331%,0.1331%,0.1597%,0.0000%,0.0266%,0.0266%,11.2087%,0.0000%,,804,413,56,17,792,345,485,5,5,6,0,1,1,421,0
